,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,157,Platoon ,#platoon,"I don't finish bad books.
Ke tonki e ibofang.
Feminist.🌺✊💫",1794,2,"@Msaki_ZA and Madosini created this playlist as we celebrate the women in our lives and the vital roles that they play in shaping, transforming and nurturing our communities.

https://t.co/VZaez7iBhi

#womensmonth
#altblkcontinua 
#platoon
#madosini
#heritagehopehealing https://t.co/78LAqYqDf1",[]
1,157,Platoon ,#platoon,Ea chencha butterfolae 🦋 - Famole | Singer-songwriter | Bookings & inquiries: bookings.motherother@gmail.com,7557,2,"@Msaki_ZA and Madosini created this playlist as we celebrate the women in our lives and the vital roles that they play in shaping, transforming and nurturing our communities.

https://t.co/VZaez7iBhi

#womensmonth
#altblkcontinua 
#platoon
#madosini
#heritagehopehealing https://t.co/78LAqYqDf1",[]
2,157,Platoon ,#platoon,This is a space that honors music and the creative ecosystem around it.,23,2,"@Msaki_ZA and Madosini created this playlist as we celebrate the women in our lives and the vital roles that they play in shaping, transforming and nurturing our communities.

https://t.co/VZaez7iBhi

#womensmonth
#altblkcontinua 
#platoon
#madosini
#heritagehopehealing https://t.co/78LAqYqDf1","['womensmonth', 'altblkcontinua', 'platoon', 'madosini', 'heritagehopehealing']"
3,157,Platoon ,#platoon,Freelance illustrator,344,0,"""I am reality.""
Finishing up this ssg. Barnes from the epic Platoon. 
#tomberenger #platoon https://t.co/3lvR1pY1ck","['tomberenger', 'platoon']"
4,157,Platoon ,#platoon,H.P. Lovecraft retweet bot.,172065,2,"👆

&amp; I've long believed that the story commonly accepted as @TheOliverStone's #Platoon is NOT ACTUALLY the INTENDED story of Oliver Stone's Platoon.

I believe Sgt. Barnes' character &amp; BEHAVIOUR in the #film is grossly misunderstood by the public.

🤔&amp; I wanna know if I'm right.",['Platoon']
5,157,Platoon ,#platoon,"🇨🇦🦁w/6 #cats & I RT f/#rescues. #Vegan. ❤ #gardening, #birds, swimming, cycling. I've PTSD & use 🤬. Opinions aren't yours. 🌎 is my Heaven, don't fuck w/it.",11948,2,"👆

&amp; I've long believed that the story commonly accepted as @TheOliverStone's #Platoon is NOT ACTUALLY the INTENDED story of Oliver Stone's Platoon.

I believe Sgt. Barnes' character &amp; BEHAVIOUR in the #film is grossly misunderstood by the public.

🤔&amp; I wanna know if I'm right.",['Platoon']
6,157,Platoon ,#platoon,"🇨🇦🦁w/6 #cats & I RT f/#rescues. #Vegan. ❤ #gardening, #birds, swimming, cycling. I've PTSD & use 🤬. Opinions aren't yours. 🌎 is my Heaven, don't fuck w/it.",11948,1,"@TheOliverStone 

🤔

Fascinating that this came out a month ago, no?

#OliverStone #Platoon #film #subplot 

👇

Do you support this analysis?

Watch ""Analyzing Evil: Sergeant Barnes From Platoon"" on YouTube
https://t.co/xTuwlygoNA","['OliverStone', 'Platoon', 'film', 'subplot']"
7,157,Platoon ,#platoon,,32302,48,Johnny with a San Miguel beer and a guitar. Perfect combination on a day off from filming #Platoon out in the jungle. 🍺🎸#BrothersInArms #JohnnyDepp https://t.co/xEv8A63sAQ,['Platoon']
8,157,Platoon ,#platoon,"Writing and sharing https://t.co/rWmegluWCx
Proud supporter of @The_VeteransHub and https://t.co/BSX4vuYPVs",1652,0,"Reposted from @infantrybattleschool 

Orders delivered by a 2LT on PCBC. Only 2 weeks away from doing it for real in their Battalions #Army #motivationmonday #orders #platoon #platooncommander #PCBC https://t.co/FKwuAooMXW","['Army', 'motivationmonday', 'orders', 'platoon', 'platooncommander', 'PCBC']"
9,157,Platoon ,#platoon,"if you make a poor smile you have paid the cost of your presence.
‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏ تتلی۔",5807,0,"@CSquadx @PlatON_Network What is #platoon strategy to marketing and for Mass Adoption? What message do you want to send to crypto squad community through AMA today?
@NFTBomb @76Shadabkhan @intim8bsc",['platoon']
10,157,Platoon ,#platoon,PhD cand. WGSS Stony Brook Univ. Fem/Queer/Trans Studies Sociology. Research-gender sex sexuality spatiality. Queer/All-gender space matters. She/Her,9128,0,"As flies to wanton boys, are we to the gods; they kill us for their sport.
#KingLear #ShakespeareSunday #Vietnamwar #Platoon #ApocalypseNow https://t.co/OIPV0xp9ki","['KingLear', 'ShakespeareSunday', 'Vietnamwar', 'Platoon', 'ApocalypseNow']"
