,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,49,I.Q. ,#i.q.,Go The Way. Listen. Learn. That's all.,57677,0,@Jim_Jordan Where will the fully vaccinated adults be most likely found? Let's not talk I.Q. yet.,[]
1,49,I.Q. ,#i.q.,"Pfp by: @Elentori 20 UID + Server: American, 626231518 homo gay homo ha 🏳️‍🌈 he/him",906,0,"@sungorouu NOOOO
YOU LOST TO Q I Q I 
WHAT DHAIDHBDKAIS
You’ll get Baal tho &lt;333",[]
2,49,I.Q. ,#i.q.,"Global nomad, cultural explorer, intercultural communicator, mad about Japan, Brazil, the Alps and anthropology. Prof development, Careers, Uni of London.",13644,8,"Books that inexplicably weren’t even nominated for the Oddest Title prize

5. How to Raise Your I.Q. by Eating Gifted Children
4. Gangsta Rap Coloring Book
3. Other Stories and other stories
2. How to Start Your Own Country
1. Castration: The Advantages and the Disadvantages",[]
3,49,I.Q. ,#i.q.,,4,0,"@TriggeredInsaan Let A= x+i(y)
B=p+i(q)
C=m+i(n) and D= a+i(b)
Given A+B=C, so 
(x+p)^2 +(y+q)^2 = m^2 +n^2.
Given B+C=D, so
(p+m)^2 +(q+n)^2= a^2+b^2.
since m=x+p and n= y+q, 
(x+2p)^2 +(y+2q)^2 = a^2+b^2
Therefore,
 |D|^2 = |(x+2p)+i(y+2q)|^2
 =|[x+i(y)]+ 2[p+i(q)]|^2 
D=A+2B, A+C=A+A+B=D",[]
4,49,I.Q. ,#i.q.,"boomer, still working every day. have had many jobs. I'm a diyer, fixer, musician, gardener, love microscopes. mostly on here for the politics. I'm also a mutt.",250,0,"@Teesa_Michele hell yeah, been married for forty years to someone who I.Q. tests twenty pts. higher than me.  It’s a challenge especially when arguing, but I can do things she can’t &amp; I even managed to whoop her ass finally in big boggle, hah!",[]
5,49,I.Q. ,#i.q.,"Scottish, eccentric and crap Diy'er.... Music, movie buff and sometimes buff when leaving the gym.",4,0,@SkyNews @KayBurley This man has the I.Q. of celery..,[]
6,49,I.Q. ,#i.q.,бортпроводник,169,0,"@QueenDex_io @Arindam78674320 @Rafiq18613094 @AhamadForid @SpiffyLilkenny @AnaVal50677062 @europe_northern @MSSaifulIslam8 @i__q__r__a @Maria___jahan 

hey friends ❤️❤️❤️
 As far as I know this airdrop is very good so I hope you all will join",[]
7,49,I.Q. ,#i.q.,"loved by few, blocked by many... husband, father, crypto enthusiast. I call people legends. if you follow me I might follow back",363,0,@Asmongold When I read your tweets my I.q increases,[]
8,49,I.Q. ,#i.q.,💜  @shiro_kya  💜,3025,0,"@shiro_kya @macindaw37 You’re right and that’s because they care about their elo so I understand, I just wish there was an easier way to try out new maps, I thought unrated would help but I literally don’t get games on unrated unless I Q peak times",[]
9,49,I.Q. ,#i.q.,"👑🇯🇲🇳🇬👑

My Crown is Permanent... No adjustments Necessary.....

#Royalty",992,0,"U-N-I-Q-U-E 🔥🔥🔥

HIS DUALITY IS SO INTOXICATING 🥰...

#POWERBOOKIII #RaisingKanan","['POWERBOOKIII', 'RaisingKanan']"
10,49,I.Q. ,#i.q.,,5413,0,Power generator CS Energy and Toowoomba and Surat Basin Enterprise have launched an initiative to increase local participation in the #hydrogen industry. Story here:https://t.co/8zahzK3N9P https://t.co/JpBdlFMKE9,['hydrogen']
11,49,I.Q. ,#i.q.,18 | mau fan page,5873,0,@perkzxo @ggmadds that’s the last time i q with maddie,[]
12,49,I.Q. ,#i.q.,,5413,0,Tenders are being called for engineering and consulting services to deliver design and costings for a new pumped hydro energy storage project near Gympie. #tenders Story:https://t.co/F9I7BQb1H9 https://t.co/nz2GIWce7b,['tenders']
13,49,I.Q. ,#i.q.,"App Maker 💞. Building apps for over a decade now. Warning: I tweet more in Tagalog/Ilocano. PH politics, Tech, Software, AI, Business, Finance, Clean Energy.",11910,0,"Explain how to create generational wealth with 5% gain monthly without compounding. This is why you are still building wealth and have no generational wealth.

Generational wealth in our generation is just pure luck and I.Q. https://t.co/iePzdnKzxu",[]
14,49,I.Q. ,#i.q.,Hindu Nationalist and hate hypocrites to the core. Jai Hind is the motto and Bharat Mata is what matters 🇮🇳,49494,0,@imrudrabha You can only think of the level of I Q and extent of their imagination. Shameful and sad.,[]
15,49,I.Q. ,#i.q.,,7482,0,"@nMauro10 @Riot_Kassadin Wow not smart enough to fill in the blank, he was tanking the wave while he wasn’t in my ult. I had 80AP, clearly early game so how could I Q 4 times in 7 seconds",[]
16,49,I.Q. ,#i.q.,Hello this is my Twitter,106,0,@atsuover T h e l i q u i d,[]
17,49,I.Q. ,#i.q.,,218787,1,"@harrisonjaime That boy just ain’t right.

He is either grasping for faint ephemeral straws or his I.Q. Is 4 or 5 standard deviations below the norm.",[]
18,49,I.Q. ,#i.q.,Mentoring esports startups ♦ Esports Guest Speaker @Esports_Bar Americas 2020 ♦ $1MM+ raised for esports startup companies ♦ Esports Mentor Experience Podcast,9663,0,"Double XP points:

Stop hanging around people who are poor/broke, unhealthy/unlucky &amp; lower I.Q than you https://t.co/1yjjLhbQc8",[]
19,49,I.Q. ,#i.q.,"Singer/songwriter from the Netherlands. Born in 1953. Play my music on Spotify 
https://t.co/tlrlSe2ksL",46715,0,"https://t.co/ZVcNTUt1bL  
Holly Humberstone Erika and Emily Firing
@ThedeleriumTrees @rustyboilers
The Shires YYnot MaryAnnKirt
Roger waters PorcupineTree I Q
The Amberband Bears den @strawkites
Sting @desolationsound @ThePetalFalls
Pink Floyd @pietlouter @stephenjbolton Jam Tako",[]
20,49,I.Q. ,#i.q.,stan BLACKPINK or Fvck off!,10167,0,"@BlinkVotingCrew STREAM AND VOTE 4PINKS
I followed @965TDY and I vote #BLACKPINK (@BLACKPINK) for #ArtistoftheSummer I q","['BLACKPINK', 'ArtistoftheSummer']"
21,49,I.Q. ,#i.q.,Current occupant of this corporeal vessel. Geologist. Politically intrigued. I pretty much only RT. Opinions are not my own.,13803,7,Obligatory #Carra4Ward9 #yycvote tweet but door knocking is a high effort/high reward essential component of any successful campaign. I have a ton of gratitude for my amazing volunteers &amp; to citizens for great convos at the doors: https://t.co/yGYXagCm2s,"['Carra4Ward9', 'yycvote']"
22,49,I.Q. ,#i.q.,"Enjoy, you little shit.                                                                                 
And that's on daddy and mommy issues.",484,4,@sofiberta manifesting manifesting https://t.co/MPy9qDUA4t,[]
23,49,I.Q. ,#i.q.,"RM =Ruby M.- 🇲🇽🇳🇴 no binarie - EDDSWORLD, Piggy, FnF, spooky month, ENA, madness combat and popee the performer - Solo dime MR",2202,52,"Annie heading down to the kitchen one night to satisfy her L I Q U I D cravings and finding her funni dumpling bird has gotten a little taller than expected. or something like that 🤔
Funny Bird and Annie belong to @atsuover !!

#fnfannie #anniefnf #atsuover #makingday https://t.co/MsP4paufuq",[]
24,49,I.Q. ,#i.q.,"“Keep your fears to yourself, but share your courage with others.” 
― Robert Louis Stevenson",455934,1,"I'm thinking of getting new eyeglasses. So I trade my smart girl glasses in for...what? What if like Sampson, my I.Q. is in my glasses? Am I living in the Twilight Zone -- where in the end, I'm going to be the last person on earth with lots of books &amp; no glasses to read them?",[]
25,49,I.Q. ,#i.q.,"TV writer/producer. Married With Children, Mork & Mindy, Laverne & Shirley, The Jeffersons, Kids From Rm 402, Disney's Muppet Babies. Sorry about the fat jokes.",19040,1,"I'm thinking of getting new eyeglasses. So I trade my smart girl glasses in for...what? What if like Sampson, my I.Q. is in my glasses? Am I living in the Twilight Zone -- where in the end, I'm going to be the last person on earth with lots of books &amp; no glasses to read them?",[]
26,49,I.Q. ,#i.q.,Father Time,1149,0,@realCCNews @BenLorber8 Trump's I.Q.,[]
27,49,I.Q. ,#i.q.,fan account | list of groups & biases in link | multi but extremely whipped for the boyz ¯\_(ツ)_/¯,20333,0,"AND THRILL RIDE MUSIC VIDEO?!

I C O N I Q U E !

#THRILLING_ALBUM_RELEASE #THRILL_ING #THRILL_RIDE #THRILL_RIDE_MV","['THRILLING_ALBUM_RELEASE', 'THRILL_ING', 'THRILL_RIDE', 'THRILL_RIDE_MV']"
28,49,I.Q. ,#i.q.,Liar looking for forgiveness from the stone,537,0,"@dazaileonhart one is a manipulative, high I.Q genius, best strategist, can always point out the opponent's weakness just by observing and the other has excellent combat ability, best fighter, cold blooded when it comes to killing opponents. Both are smart, realistic, observants. Unstoppable!!!",[]
29,49,I.Q. ,#i.q.,Parody account. Not affiliated with any person. Comments made are humor and not actual comments of any person (unless indicated as truthful). 326=fav.#!,70,0,"@pantsuit_tears @Hans_A_Strauss ""Sorry losers and haters, but my I.Q. is one of the highest -and you all know it! Please don't feel so stupid or insecure, it's not your fault.""",[]
30,49,I.Q. ,#i.q.,Professional low life,31419,10,Harvard School of Public health has done plenty of studies on Fluorides effects on I.Q and it's role as a neurotoxic. To prescribe this to a newborn baby is essentially poisoning it/dumbing it down https://t.co/uqXFYgHXzl,[]
31,49,I.Q. ,#i.q.,"Fiscal conservative, socially moderate, not represented by either party, definitely allergic to crazy though, firm believer in facts, data, and science.",464,1,"@harrisonjaime That boy just ain’t right.

He is either grasping for faint ephemeral straws or his I.Q. Is 4 or 5 standard deviations below the norm.",[]
32,49,I.Q. ,#i.q.,"Fiscal conservative, socially moderate, not represented by either party, definitely allergic to crazy though, firm believer in facts, data, and science.",464,0,"@CawthornforNC Comparing a sitting Senator to a President who’s been out of office for 5 years?

You are either really grasping for ephemeral straws or your I.Q. Is 4 or 5 standard deviations below the average.",[]
33,49,I.Q. ,#i.q.,,5413,0,"Organisers of the annual Queensland Mining Industry Health &amp; Safety Conference today announced that the 2021 event, scheduled to start on August 22, will be postponed. #mining #safety #COVID Story here:https://t.co/pVaroBenHX https://t.co/vJINmmjuZq","['mining', 'safety', 'COVID']"
34,49,I.Q. ,#i.q.,"Managed Dairy Queens for over 25 years. Now working for Publix.  I love sports, especially baseball and I play chess.",5459,0,"@DrexlSpivey12 @cmmcguire @JeffMDonahoo Yes, and it is borrowed from his father, Skip. He does that to honor his dad. HOWEVER, the problem is--Skip had uncanny timing and an imagination and Skip had pizazz and was believable with the delivery. Skip's I.Q. : at least 155. Chip's I.Q. : 94 at best on a good day.",[]
35,49,I.Q. ,#i.q.,,33531,0,"Humanity has been blessed with certain people with extraordinary high I.Q.s and yet we continue to happily fund our demise.  

A.I. has the capacity to solve the pandemic.

Exposing the criminal elements?",[]
36,49,I.Q. ,#i.q.,,5413,0,"When it comes to showing his true colours, Brolga Cranes managing director Paul Olsen goes for bold, bright and emblazoned on the side of a 25-tonne Franna. #Construction #Queensland Story:https://t.co/pQMzEc5paU https://t.co/7DuTQDQked","['Construction', 'Queensland']"
37,49,I.Q. ,#i.q.,,5413,0,"The shift towards solar will mean at least a doubling of demand in that sector for #aluminium, #copper and #zinc by 2040, according to a new report from Wood Mackenzie. #mining Story here:https://t.co/KY5GRAFypS https://t.co/7oWQwvMIaB","['aluminium', 'copper', 'zinc', 'mining']"
38,49,I.Q. ,#i.q.,my gorillas live in the zoo. noles/packers.,17845,7818,"INSPIRING: After 20 Years-- Local Waitress Reunited With ""78 I.Q."" Police Officer Who Used Her As A Human Shield At The Age Of 11",[]
39,49,I.Q. ,#i.q.,"l philosopher l Writer l social activist l

Last day on earth - 24 December 2299

Jai hind 🇮🇳🙏",11909,1,Studies have shown that eating food without preservatives can improve I.Q by up to 14%.,[]
40,49,I.Q. ,#i.q.,Stuck in Quarantine video out now!! Also new single Get to it! #YBS  https://t.co/Wppq19mb7d #Linkinbio,39843,0,@Joyzwish yeah but we should've I love Scrubb and BJ so far Keon is koo I.Q questionable,[]
